id,name,stream_url,logo,poster,background,genre,country,language,quality,type,is_active
tv_amazonica_tv_iquitoslink,AMAZONICA TV IQUITOS,http://38.183.182.166:8000/play/a0yx/index.m3u8,logos/tv_amazonica_tv_iquitoslink.png,poster/tv_amazonica_tv_iquitoslink-poster.png,background/tv_amazonica_tv_iquitoslink.jpg,"TV Local, General",Internacional,es,Auto,tv,true
tv_karibea_hd_cesar,KARIBEÑA,http://38.183.182.166:8000/play/a124/index.m3u8,,poster/tv_karibea_hd_cesar-poster.png,background/tv_karibea_hd_cesar.jpg,"TV Local, General",España,es,Auto,tv,true
tv_latina_per,Latina Perú,http://redirector.rudo.video/hls-video/567ffde3fa319fadf3419efda25619456231dfea/latina/latina.smil/playlist.m3u8,,poster/tv_latina_per-poster.png,background/tv_latina_per.jpg,"TV Local, General",Perú,es,Auto,tv,true
tv_latinacarcasi,LATINA,http://38.183.182.166:8000/play/a147/index.m3u8,,poster/tv_latinacarcasi-poster.png,background/tv_latinacarcasi.jpg,"TV Local, General",Argentina,es,Auto,tv,true
tv_america_tvcarcasi,AMERICA TV,http://38.183.182.166:8000/play/a146/index.m3u8,logos/tv_america_tvcarcasi.png,poster/tv_america_tvcarcasi-poster.png,background/tv_america_tvcarcasi.jpg,"Entretenimiento, General",Argentina,es,Auto,tv,true
tv_america_tv_hd,America TV,http://38.183.182.166:8000/play/a0rb/index.m3u8,,poster/tv_america_tv_hd-poster.png,background/tv_america_tv_hd.jpg,"Entretenimiento, General",Perú,es,Auto,tv,true
tv_panamericanaever,PANAMERICANA,http://38.183.182.166:8000/play/a0ii/index.m3u8,logos/tv_panamericanaever.png,poster/tv_panamericanaever-poster.png,background/tv_panamericanaever.jpg,"TV Local, General",Perú,es,Auto,tv,true
tv_panamericana,Panamericana,http://201.230.121.186:8000/play/a0ov/index.m3u8,,poster/tv_panamericana-poster.png,background/tv_panamericana.jpg,"TV Local, General",Perú,es,Auto,tv,true
tv_atv_ever,ATV +,http://38.183.182.166:8000/play/a0fa/index.m3u8,logos/tv_atv_ever.png,poster/tv_atv_ever-poster.png,background/tv_atv_ever.jpg,"TV Local, General",Internacional,es,Auto,tv,true
tv_atv_cesar_apaza,ATV,http://38.183.182.166:8000/play/a10m/index.m3u8,,poster/tv_atv_cesar_apaza-poster.png,background/tv_atv_cesar_apaza.jpg,"TV Local, General",España,es,Auto,tv,true
tv_disney_channel,Disney Channel,http://170.244.209.135:8000/play/a0gm/index.m3u8,,poster/tv_disney_channel-poster.png,background/tv_disney_channel.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_negocios_tv,Negocios TV,http://streaming013.gestec-video.com/hls/negociostv.m3u8,https://pbs.twimg.com/profile_images/1321367703731523584/bNMmbetI_200x200.jpg,poster/tv_negocios_tv-poster.png,background/tv_negocios_tv.jpg,"Negocios, General",Internacional,es,Auto,tv,true
tv_liga1max_carcasi,LIGA1-MAX,http://38.183.182.166:8000/play/a12t/index.m3u8,,poster/tv_liga1max_carcasi-poster.png,background/tv_liga1max_carcasi.jpg,"Deportes, General",Argentina,es,Auto,tv,true
tv_espn_premium_hd,ESPN Premium,http://38.183.182.166:8000/play/a0re/index.m3u8,logos/tv_espn_premium_hd.png,poster/tv_espn_premium_hd-poster.png,background/tv_espn_premium_hd.jpg,"TV Premium, Deportes, General",España,es,Auto,tv,true
tv_red_bull_tv_en,Red Bull TV EN,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8,logos/tv_red_bull_tv_en.png,poster/tv_red_bull_tv_en-poster.png,background/tv_red_bull_tv_en.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_morethansports_tv,MoreThanSports TV,http://mts1.iptv-playoutcenter.de/mts/mts-web/playlist.m3u8,logos/tv_morethansports_tv.png,poster/tv_morethansports_tv-poster.png,background/tv_morethansports_tv.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_movistar_deportes_cesar,MOVISTAR DEPORTES,http://38.183.182.166:8000/play/a126/index.m3u8,logos/tv_movistar_deportes_cesar.png,poster/tv_movistar_deportes_cesar-poster.png,background/tv_movistar_deportes_cesar.jpg,"Deportes, General",España,es,Auto,tv,true
tv_win_sports_hd,Win Sports+,http://38.250.127.17:9800/play/a0ac/index.m3u8,,poster/tv_win_sports_hd-poster.png,background/tv_win_sports_hd.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_azteca_deportes,Azteca Deportes,http://200.125.170.122:8000/play/a0ek/index.m3u8,,poster/tv_azteca_deportes-poster.png,background/tv_azteca_deportes.jpg,"Deportes, General",México,es,Auto,tv,true
tv_fox_sports_3_hd,FOX SPORTS 3,http://200.125.170.122:8000/play/a05y/index.m3u8,,poster/tv_fox_sports_3_hd-poster.png,background/tv_fox_sports_3_hd.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_futv_hd_cr,FUTV CR,http://200.125.170.122:8000/play/a05u/index.m3u8,,poster/tv_futv_hd_cr-poster.png,background/tv_futv_hd_cr.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_golf_channel_hd,Golf Channel,http://200.125.170.122:8000/play/a038/index.m3u8,logos/tv_golf_channel_hd.png,poster/tv_golf_channel_hd-poster.png,background/tv_golf_channel_hd.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_tyc,TyC,http://201.230.121.186:8000/play/a0fk/index.m3u8,logos/tv_tyc.png,poster/tv_tyc-poster.png,background/tv_tyc.jpg,"Deportes, General",Internacional,es,Auto,tv,true
tv_nick_jr_east_720p,Nick Jr. East,http://fl41.moveonjoy.com/NICK_JR/index.m3u8,https://i.imgur.com/KT4tdQs.png,poster/tv_nick_jr_east_720p-poster.png,background/tv_nick_jr_east_720p.jpg,"TV Premium, Infantil, General",Internacional,es,Auto,tv,true
tv_vam_vids_more_720p,VAM Vid's & More,http://sincerecloud.stream/loadbalancer/public/J9EmQQGf.m3u8,logos/tv_vam_vids_more_720p.png,poster/tv_vam_vids_more_720p-poster.png,background/tv_vam_vids_more_720p.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_axn_hd,AXN,http://38.183.182.166:8000/play/a0vi/index.m3u8,,poster/tv_axn_hd-poster.png,background/tv_axn_hd.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_animal_planet_hd,Animal Planet,http://38.183.182.166:8000/play/a0v7/index.m3u8,,poster/tv_animal_planet_hd-poster.png,background/tv_animal_planet_hd.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_comedy_central_hd,Comedy Central,http://38.183.182.166:8000/play/a0vb/index.m3u8,,poster/tv_comedy_central_hd-poster.png,background/tv_comedy_central_hd.jpg,"TV Premium, Comedia, General",Colombia,es,Auto,tv,true
tv_discovery_channel_hd,Discovery Channel,http://38.183.182.166:8000/play/a0v8/index.m3u8,,poster/tv_discovery_channel_hd-poster.png,background/tv_discovery_channel_hd.jpg,"TV Premium, Documentales, General",Colombia,es,Auto,tv,true
tv_discovery_hh_hd,Discovery H&H,http://38.183.182.166:8000/play/a0vq/index.m3u8,logos/tv_discovery_hh_hd.png,poster/tv_discovery_hh_hd-poster.png,background/tv_discovery_hh_hd.jpg,"TV Premium, Documentales, Estilo de Vida, General",Colombia,es,Auto,tv,true
tv_discovery_kids_hd,Discovery Kids,http://38.183.182.166:8000/play/a0vp/index.m3u8,logos/tv_discovery_kids_hd.png,poster/tv_discovery_kids_hd-poster.png,background/tv_discovery_kids_hd.jpg,"TV Premium, Infantil, Documentales, General",Colombia,es,Auto,tv,true
tv_discovery_science,Discovery Science,http://38.183.182.166:8000/play/a0rr/index.m3u8,logos/tv_discovery_science.png,poster/tv_discovery_science-poster.png,background/tv_discovery_science.jpg,"TV Premium, Documentales, General",Colombia,es,Auto,tv,true
tv_discovery_theater_hd,Discovery Theater,http://38.183.182.166:8000/play/a0vr/index.m3u8,logos/tv_discovery_theater_hd.png,poster/tv_discovery_theater_hd-poster.png,background/tv_discovery_theater_hd.jpg,"TV Premium, Documentales, General",Colombia,es,Auto,tv,true
tv_discovery_turbo,Discovery Turbo,http://38.183.182.166:8000/play/a0uy/index.m3u8,logos/tv_discovery_turbo.png,poster/tv_discovery_turbo-poster.png,background/tv_discovery_turbo.jpg,"TV Premium, Documentales, Música, General",Colombia,es,Auto,tv,true
tv_disney_hd,Disney,http://38.183.182.166:8000/play/a0zs/index.m3u8,logos/tv_disney_hd.png,poster/tv_disney_hd-poster.png,background/tv_disney_hd.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_disney_junior,Disney Junior,http://38.183.182.166:8000/play/a0uw/index.m3u8,logos/tv_disney_junior.png,poster/tv_disney_junior-poster.png,background/tv_disney_junior.jpg,"TV Premium, Infantil, General",Internacional,es,Auto,tv,true
tv_disney_junior_sur_jrs02,Disney Junior Sur (JRS02),http://38.183.182.166:8000/play/a0j9/index.m3u8,logos/tv_disney_junior_sur_jrs02.png,poster/tv_disney_junior_sur_jrs02-poster.png,background/tv_disney_junior_sur_jrs02.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_disney_sur_dcs01,Disney Sur (DCS01),http://38.183.182.166:8000/play/a0j8/index.m3u8,logos/tv_disney_sur_dcs01.png,poster/tv_disney_sur_dcs01-poster.png,background/tv_disney_sur_dcs01.jpg,"TV Premium, General",Internacional,es,Auto,tv,true
tv_espn_2_hd,ESPN 2,http://38.183.182.166:8000/play/a0vw/index.m3u8,,poster/tv_espn_2_hd-poster.png,background/tv_espn_2_hd.jpg,"TV Premium, Deportes, General",España,es,Auto,tv,true
tv_espn_3_hd,ESPN 3,http://38.183.182.166:8000/play/a0x0/index.m3u8,,poster/tv_espn_3_hd-poster.png,background/tv_espn_3_hd.jpg,"TV Premium, Deportes, General",España,es,Auto,tv,true
tv_espn_4_hd,ESPN 4,http://200.125.170.122:8000/play/a0en/index.m3u8,,poster/tv_espn_4_hd-poster.png,background/tv_espn_4_hd.jpg,"TV Premium, Deportes, General",España,es,Auto,tv,true
tv_espn_7hd,ESPN 7,http://38.183.182.166:8000/play/a0wt/index.m3u8,logos/tv_espn_7hd.png,poster/tv_espn_7hd-poster.png,background/tv_espn_7hd.jpg,"TV Premium, Deportes, General",España,es,Auto,tv,true
