id,name,stream_url,logo,genre,country,language,quality,type,is_active
tv_latina_per,Latina Perú,http://redirector.rudo.video/hls-video/567ffde3fa319fadf3419efda25619456231dfea/latina/latina.smil/playlist.m3u8,logo/tv_latina_per.png,"TV Local, General",Perú,es,Auto,tv,true
tv_america_tv_hd,America TV,http://live-evg5.tv360.bitel.com.pe/bitel/america_tv_abr/playlist.m3u8?uid=,logo/tv_america_tv_hd.png,"Entretenimiento, General",Peru,es,HD,tv,true
tv_america_tv_hd,America TV,http://live-evg5.tv360.bitel.com.pe/bitel/america_tv_abr/playlist.m3u8?uid=,logo/tv_america_tv_hd.png,"Entretenimiento, General",Peru,es,HD,tv,true
tv_negocios_tv,Negocios TV,http://streaming013.gestec-video.com/hls/negociostv.m3u8,logo/tv_negocios_tv.png,"Negocios, General",Internacional,es,Auto,tv,true
tv_red_bull_tv_en,Red Bull TV EN,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8,logo/tv_red_bull_tv_en.png,"Deportes, General",Internacional,es,Auto,tv,true
tv_morethansports_tv,MoreThanSports TV,http://mts1.iptv-playoutcenter.de/mts/mts-web/playlist.m3u8,logo/tv_morethansports_tv.png,"Deportes, General",Internacional,es,Auto,tv,true
tv_nick_jr_east_720p,Nick Jr. East,http://fl41.moveonjoy.com/NICK_JR/index.m3u8,logo/tv_nick_jr_east_720p.png,"TV Premium, Infantil, General",Internacional,es,Auto,tv,true
tv_vam_vids_more_720p,VAM Vid's & More,http://sincerecloud.stream/loadbalancer/public/J9EmQQGf.m3u8,logo/tv_vam_vids_more_720p.png,"TV Premium, General",Internacional,es,Auto,tv,true
tv_akc_tv_dogs_en,AKC TV Dogs EN,http://install.akctvcontrol.com/speed/broadcast/138/desktop-playlist.m3u8,logo/tv_akc_tv_dogs_en.png,"Infantil, General",Internacional,es,Auto,tv,true
tv_tom_and_jerry,Tom And Jerry,http://live20.bozztv.com/giatvplayout7/giatv-208314/playlist.m3u8,logo/tv_tom_and_jerry.png,"Infantil, General",Internacional,es,Auto,tv,true
tv_baby_shark_tv_720p,Baby Shark TV,http://newidco-babysharktv-1-eu.rakuten.wurl.tv/playlist.m3u8,logo/tv_baby_shark_tv_720p.png,"Infantil, General",Argentina,es,Auto,tv,true
tv_super_simple_songs_1080p,Super Simple Songs,http://janson-supersimplesongs-1-us.roku.wurl.tv/playlist.m3u8,logo/tv_super_simple_songs_1080p.png,"Infantil, General",Perú,es,Auto,tv,true
tv_pbs_kids_easterncentral_720p,PBS Kids Eastern Central,http://2-fss-2.streamhoster.com/pl_140/amlst:200914-1298290/playlist.m3u8,logo/tv_pbs_kids_easterncentral_720p.png,"Infantil, Educativo, General",Internacional,es,Auto,tv,true
